vendor_id,vendor_name,category,date,amount_inr,description,po_number,source,record_id,building_id
AUTH-BBMP-EE-PDMBNGR,BBMP-EE-PDMBNGR,General Civil Works,2025-04-27 15:15:00,1186957.0,Providing drinking water works in ward no 183 in Padmanabhanagara Division,BBMP/2017-18/OW/WORK_INDENT25412,bbmp_capital_works,COST-00001,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,3597916.0,Improvements to roads and drains at Srirama Nursing Home road at Marathahalli in Ward No:86,BBMP/2016-17/OW/WORK_INDENT24326/CALL-2,bbmp_capital_works,COST-00002,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,1997687.0,Construction of road and drain at 5th cross Tulasi Theater main road at Marathahalli at Ward no :86,BBMP/2016-17/OW/WORK_INDENT24324/CALL-2,bbmp_capital_works,COST-00003,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,2494014.0,Improvements and Asphalting to roads at Maruthi layout in ward no.83 Kadugudi,BBMP/2016-17/OW/WORK_INDENT23955/CALL-3,bbmp_capital_works,COST-00004,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,1993857.0,Improvements to roads and drains of Kadugudi Extention near BESCOM office in Kadugudi ward No.83,BBMP/2016-17/OW/WORK_INDENT23804/CALL-3,bbmp_capital_works,COST-00005,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,1497443.0,Improvements to roads and drains at VSR Layout and Purushotham Singh house road in Kadugudi ward No.83,BBMP/2016-17/OW/WORK_INDENT23806/CALL-3,bbmp_capital_works,COST-00006,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,1991875.0,Improvements to roads and drains of Prashanth Layout Main road in Kadugudi ward No.83,BBMP/2016-17/OW/WORK_INDENT23805/CALL-3,bbmp_capital_works,COST-00007,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,1498123.0,Improvements to roads and drains at Vijayalakshmi colony cross roads in Kadugudi ward No.83,BBMP/2016-17/OW/WORK_INDENT23810/CALL-3,bbmp_capital_works,COST-00008,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,1993668.0,Construction of drains to 3rd cross road of Kadugudi plantation (Dinnur) in Kadugudi ward No.83,BBMP/2016-17/OW/WORK_INDENT23812/CALL-3,bbmp_capital_works,COST-00009,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,2480499.0,Improvements to roads and construction of drains to 1st Main road Ambedkarnagara in Kadugudi ward No.83,BBMP/2016-17/OW/WORK_INDENT23803/CALL-3,bbmp_capital_works,COST-00010,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,1497920.0,Improvements to roads and drains at Shankarapura colony in Kadugudi ward No.83,BBMP/2016-17/OW/WORK_INDENT23813/CALL-2,bbmp_capital_works,COST-00011,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,1494135.0,Special repairs and improvements to BBMP building at Kadugudi in Ward no.83,BBMP/2016-17/BD/WORK_INDENT23739/CALL-2,bbmp_capital_works,COST-00012,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-29 15:15:00,1492631.0,Improvements to roads and drains at Di-Silva & Naidu Layout in Kadugudi ward No.83,BBMP/2016-17/OW/WORK_INDENT23808/CALL-3,bbmp_capital_works,COST-00013,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-04-30 15:15:00,17326034.0,Develoment works in Ward No. 56 A.Narayanapura,BBMP/2017-18/OW/WORK_INDENT25415,bbmp_capital_works,COST-00014,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-04-30 15:15:00,19248763.0,Construction of Dialysis Center at Krishna Raja Puram,BBMP/2017-18/OW/WORK_INDENT25421,bbmp_capital_works,COST-00015,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-04-30 15:15:00,17324793.0,Construction of First Floor & Second Floor at M.E.G. Layout Akash Nagar in Ward No. 81,BBMP/2017-18/OW/WORK_INDENT25420,bbmp_capital_works,COST-00016,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-04-30 15:15:00,17325088.0,"Development works in ward no.55, Devasandra.",BBMP/2017-18/OW/WORK_INDENT25414,bbmp_capital_works,COST-00017,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-30 15:15:00,1979729.0,Improvements to Roads and drains at Seetharampalya in Garudacharpalya ward no-82,BBMP/2016-17/OW/WORK_INDENT23961/CALL-3,bbmp_capital_works,COST-00018,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-30 15:15:00,1494592.0,"Maintenance and Repairs to Culverts, drains in Ward No-54",BBMP/2016-17/OW/WORK_INDENT24689/CALL-2,bbmp_capital_works,COST-00019,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-30 15:15:00,680423.0,Demolition of Unauthorized Building and removal of debris at Sy no.102-2 Pattanduru Agrahara in Garudacharpalya ward no.82,BBMP/2016-17/OW/WORK_INDENT24684/CALL-2,bbmp_capital_works,COST-00020,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-30 15:15:00,1977525.0,Improvementing roads and drains of Nalluralli cross roads in ward no.84,BBMP/2016-17/OW/WORK_INDENT21405/CALL-5,bbmp_capital_works,COST-00021,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-04-30 15:15:00,994573.0,Providing and fixing of Name boards at Hoodi ward no.54,BBMP/2016-17/OW/WORK_INDENT24693/CALL-2,bbmp_capital_works,COST-00022,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,1962077.0,Construction of Watchmen room and improvement to burrial ground at singaiahnapalya and tent road Devasandra in ward no 55,BBMP/2016-17/OW/WORK_INDENT23951/CALL-3,bbmp_capital_works,COST-00023,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,2498370.0,Repairs and Maintenance Works BBMP Building in HAL Airport Ward no 87,BBMP/2016-17/OW/WORK_INDENT24003/CALL-3,bbmp_capital_works,COST-00024,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,430560.0,Annual Maintenance of BBMP Building in ANarayanapura water supply sanitary etc of A NARAYANAPURA IN WARD NO 56,BBMP/2016-17/OW/WORK_INDENT23964/CALL-2,bbmp_capital_works,COST-00025,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,3990102.0,Construction of multi purpose Building in HAL Airport Ward No 87,BBMP/2016-17/OW/WORK_INDENT24012/CALL-3,bbmp_capital_works,COST-00026,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,2289370.0,Consturction of multipurpose hall in ward No 56,BBMP/2016-17/OW/WORK_INDENT23957/CALL-3,bbmp_capital_works,COST-00027,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,2743425.0,Construction of Toilet Block Kitchen and Providing Furiture for Newly Proposed Community hall in Ward no 56,BBMP/2016-17/OW/WORK_INDENT23963/CALL-3,bbmp_capital_works,COST-00028,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,4999166.0,Construction of Balawadi building in Jyothinagar in Madahalli Basavanapura ward no 53,BBMP/2016-17/OW/WORK_INDENT24033/CALL-3,bbmp_capital_works,COST-00029,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-05-01 15:15:00,498390.0,Repairs and Improvements to Over Head Tank at Dinnur and Channasnadra in Ward No. 83 (Kadugudi),BBMP/2017-18/OW/WORK_INDENT25422,bbmp_capital_works,COST-00030,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,2964367.0,Improvements to Roads and Drains at Kanaka Nagara Surrounding Area Cross Roads in RM Nagara Ward No 26,BBMP/2016-17/OW/WORK_INDENT24005/CALL-3,bbmp_capital_works,COST-00031,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,4493006.0,Improvements to Existing Kalyani Area at Kalkere Village in R M Nagara Ward No 26,BBMP/2016-17/OW/WORK_INDENT24063/CALL-3,bbmp_capital_works,COST-00032,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,999959.0,Improvements to Kowdenahalli Ashwatha Katte Area in R M Nagara Ward No 26,BBMP/2016-17/OW/WORK_INDENT24064/CALL-3,bbmp_capital_works,COST-00033,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,1474672.0,Construction of Culverts in emergency required area at R M Nagara ward area in Ward No 26,BBMP/2016-17/OW/WORK_INDENT24015/CALL-3,bbmp_capital_works,COST-00034,BLD-HQ-01
AUTH-BBMP-EE-CHAMARAJPETH,BBMP-EE-Chamarajpeth,General Civil Works,2025-05-01 15:15:00,6767771.0,Rejuvunation and construction of Kennels in Veternary Hospital Premises in Ward No 138,BBMP/2017-18/OW/WORK_INDENT25441,bbmp_capital_works,COST-00035,BLD-HQ-01
AUTH-BBMP-EE-PDMBNGR,BBMP-EE-PDMBNGR,General Civil Works,2025-05-01 15:15:00,5500000.0,Providing and fixing 16 feet brass metal statue of swamy vivekananda in Yadiyur lake park in ward no 167,BBMP/2016-17/OW/WORK_INDENT24297/CALL-2,bbmp_capital_works,COST-00036,BLD-HQ-01
AUTH-BBMP-EE-KRPURAM,BBMP-EE-KRPURAM,General Civil Works,2025-05-01 15:15:00,3978945.0,Improvements to Roads and Drains at K Channasandra Surrounding Area Cross Roads in R M Nagara Ward No 26,BBMP/2016-17/OW/WORK_INDENT24009/CALL-3,bbmp_capital_works,COST-00037,BLD-HQ-01
AUTH-BBMP-EE-CHAMARAJPETH,BBMP-EE-Chamarajpeth,General Civil Works,2025-05-02 15:15:00,1499446.0,Improvements and Asphalting to Rangantha Colony 1st Main road in Ward No 137,BBMP/2016-17/RD/WORK_INDENT24719/CALL-2,bbmp_capital_works,COST-00038,BLD-HQ-01
AUTH-BBMP-EE-BTMLAYOUT,BBMP-EE-BTMLAYOUT,General Civil Works,2025-05-02 15:15:00,992532.0,Construction of Rain water Harvesting in ward No. 152 (Suddaguntepalya),BBMP/2017-18/OW/WORK_INDENT25445,bbmp_capital_works,COST-00039,BLD-HQ-01
AUTH-BBMP-EE-BTMLAYOUT,BBMP-EE-BTMLAYOUT,General Civil Works,2025-05-02 15:15:00,570132.0,Construction of Toilet Block at Bus Stand near Police quarters in Lakkasandra in ward No. 146 Lakkasandra,BBMP/2017-18/OW/WORK_INDENT25438,bbmp_capital_works,COST-00040,BLD-HQ-01
AUTH-BBMP-EE-BTMLAYOUT,BBMP-EE-BTMLAYOUT,General Civil Works,2025-05-02 15:15:00,1198264.0,Engagement of Gangman and hiring of tractor / Tipper for cleaning and maintenance of Road side drains and other cleaning work the year 2017-18 in ward No. 146 (Lakkasandra),BBMP/2017-18/OW/WORK_INDENT25436,bbmp_capital_works,COST-00041,BLD-HQ-01
AUTH-BBMP-EE-CHIKPETH,BBMP-EE-Chikpeth,General Civil Works,2025-05-02 15:15:00,925118.0,Yearly maintenance and special maintenance for the BBMP Buildings in ward no 144,BBMP/2017-18/OW/WORK_INDENT25478,bbmp_capital_works,COST-00042,BLD-HQ-01
AUTH-BBMP-EE-CHIKPETH,BBMP-EE-Chikpeth,General Civil Works,2025-05-02 15:15:00,4452333.0,"Improvements of CC roads,Asphalting road and RCC Drains Someshwara Colony In ward No: 144",BBMP/2017-18/OW/WORK_INDENT25482,bbmp_capital_works,COST-00043,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-05-02 15:15:00,1273844.0,Providing drinking water works in ward no.83 in Mahadevapura division,BBMP/2017-18/OW/WORK_INDENT25477,bbmp_capital_works,COST-00044,BLD-HQ-01
AUTH-BBMP-EE-MAHADEVAPURA,BBMP-EE-MAHADEVAPURA,General Civil Works,2025-05-02 15:15:00,999401.0,Repairs to Manholes in Garudacharpalya ward no.82,BBMP/2017-18/OW/WORK_INDENT25465,bbmp_capital_works,COST-00045,BLD-HQ-01
AUTH-BBMP-EE-BTMLAYOUT,BBMP-EE-BTMLAYOUT,General Civil Works,2025-05-02 15:15:00,1992542.0,Improvements to Roads at Maruthi Nagara Madiwala Extn and surrounding area in ward No. 152 (Suddaguntepalya),BBMP/2017-18/OW/WORK_INDENT25447,bbmp_capital_works,COST-00046,BLD-HQ-01
AUTH-BBMP-EE-CVRAMANNAGAR,BBMP-EE-CVRAMANNAGAR,General Civil Works,2025-05-02 15:15:00,1979883.0,Providing cement concrete Road at Ramaswamy layout in Malleshpalya in Ward No.57,BBMP/2016-17/RD/WORK_INDENT23094/CALL-3,bbmp_capital_works,COST-00047,BLD-HQ-01
